f_min,f_max,c_min,c_max,n_min,n_max,target_delay_min,target_delay_max,delay,min_rtt
51.282051282051285,27.397260273972602,nan,nan,nan,nan,nan,nan,0.068479,0.05
22.22222222222222,22.22222222222222,22.222222222222218,22.222222222222218,1,0.9999999999999999,0.05,0.049999999999999996,0.032136,0.05
17.91044776119403,17.91044776119403,17.910447761194025,17.910447761194025,1,0.9999999999999998,0.05,0.04999999999999999,0.318696,0.05
64.51612903225806,17.91044776119403,nan,nan,nan,nan,nan,nan,0.29416,0.05
74.07407407407408,17.91044776119403,nan,nan,nan,nan,nan,nan,0.111136,0.05
85.71428571428571,17.91044776119403,nan,nan,nan,nan,nan,nan,0.021524,0.05
58.8235294117647,58.8235294117647,58.823529411764746,58.823529411764746,1.0000000000000007,1.5000000000000007,0.05000000000000004,0.07500000000000004,0.001475,0.05
51.0204081632653,51.0204081632653,51.0204081632653,51.0204081632653,1,1.5,0.05,0.07500000000000001,0.057359,0.05
44.943820224719104,44.943820224719104,44.9438202247191,44.9438202247191,1,0.9999999999999999,0.05,0.049999999999999996,0.32142,0.05
85.71428571428571,89.6358543417367,89.63585434173676,123.80167235896862,1.0000000000000007,1.4443528441879674,0.05000000000000004,0.07221764220939837,0.403,0.05
83.33333333333333,89.6358543417367,nan,nan,nan,nan,nan,nan,0.120222,0.05
46.51162790697675,89.6358543417367,nan,nan,nan,nan,nan,nan,0.025122,0.05
28.98550724637681,28.98550724637681,28.985507246376805,28.985507246376805,1,0.9999999999999999,0.05,0.049999999999999996,0.043638,0.05
22.857142857142858,22.857142857142858,22.857142857142858,22.857142857142858,1,1.5,0.05,0.07500000000000001,0.317986,0.05
46.51162790697675,71.06598984771573,71.06598984771576,207.46813650841008,1.0000000000000004,4.460564934930816,0.050000000000000024,0.22302824674654081,0.410174,0.05
94.11764705882352,71.06598984771573,nan,nan,nan,nan,nan,nan,0.15877,0.05
73.17073170731707,71.06598984771573,nan,nan,nan,nan,nan,nan,0.048596,0.05
55.55555555555556,71.06598984771573,nan,nan,nan,nan,nan,nan,0.008447,0.05
42.10526315789474,42.10526315789474,42.10526315789473,42.10526315789473,1,0.9999999999999998,0.05,0.04999999999999999,0.056436,0.05
35.230352303523034,35.230352303523034,35.230352303523034,35.230352303523034,1,1.5,0.05,0.07500000000000001,0.33139,0.05
55.55555555555556,79.09604519774011,79.09604519774008,483.97874548235035,1,8.711617418682305,0.05,0.4355808709341153,0.382746,0.05
81.81818181818181,79.09604519774011,nan,nan,nan,nan,nan,nan,0.104807,0.05
78.94736842105263,79.09604519774011,nan,nan,nan,nan,nan,nan,0.025461,0.05
57.69230769230769,57.69230769230769,57.69230769230766,57.69230769230766,1,0.9999999999999993,0.05,0.04999999999999997,0.018816,0.05
