time,event,cwnd
447599000,"""ProbeUpdate""",20.00
467862000,"""ProbeGain""",60.00
468385000,"""ProbeDrain""",20.00
468482000,"""ProbeUpdate""",20.00
488673000,"""ProbeGain""",60.00
489195000,"""ProbeDrain""",20.00
489293000,"""ProbeUpdate""",20.00
509531000,"""ProbeGain""",60.00
510055000,"""ProbeDrain""",20.00
510150000,"""ProbeUpdate""",20.00
530393000,"""ProbeGain""",60.00
530913000,"""ProbeDrain""",20.00
531008000,"""ProbeUpdate""",20.00
551216000,"""ProbeGain""",60.00
551738000,"""ProbeDrain""",20.00
551833000,"""ProbeUpdate""",20.00
571960000,"""ProbeGain""",60.00
572480000,"""ProbeDrain""",20.00
572573000,"""ProbeUpdate""",20.00
592727000,"""ProbeGain""",60.00
593247000,"""ProbeDrain""",20.00
593341000,"""ProbeUpdate""",20.00
613434000,"""ProbeGain""",60.00
613954000,"""ProbeDrain""",20.00
614048000,"""ProbeUpdate""",21.00
634370000,"""ProbeGain""",65.00
634893000,"""ProbeDrain""",21.00
634993000,"""ProbeUpdate""",21.00
655322000,"""ProbeGain""",65.00
655845000,"""ProbeDrain""",21.00
655945000,"""ProbeUpdate""",21.00
676283000,"""ProbeGain""",65.00
676807000,"""ProbeDrain""",21.00
676907000,"""ProbeUpdate""",21.00
697244000,"""ProbeGain""",65.00
697769000,"""ProbeDrain""",21.00
697871000,"""ProbeUpdate""",21.00
718137000,"""ProbeGain""",65.00
718662000,"""ProbeDrain""",21.00
718763000,"""ProbeUpdate""",21.00
739177000,"""ProbeGain""",65.00
739702000,"""ProbeDrain""",21.00
739806000,"""ProbeUpdate""",21.00
760193000,"""ProbeGain""",65.00
760717000,"""ProbeDrain""",21.00
760815000,"""ProbeUpdate""",21.00
781141000,"""ProbeGain""",65.00
781665000,"""ProbeDrain""",21.00
781762000,"""ProbeUpdate""",21.00
802101000,"""ProbeGain""",65.00
802625000,"""ProbeDrain""",21.00
802724000,"""ProbeUpdate""",21.00
822993000,"""ProbeGain""",65.00
823517000,"""ProbeDrain""",21.00
823616000,"""ProbeUpdate""",21.00
843965000,"""ProbeGain""",64.00
844490000,"""ProbeDrain""",21.00
844587000,"""ProbeUpdate""",21.00
864938000,"""ProbeGain""",65.00
865463000,"""ProbeDrain""",21.00
865560000,"""ProbeUpdate""",21.00
885907000,"""ProbeGain""",65.00
886431000,"""ProbeDrain""",21.00
886528000,"""ProbeUpdate""",21.00
906841000,"""ProbeGain""",65.00
907366000,"""ProbeDrain""",21.00
907464000,"""ProbeUpdate""",21.00
927731000,"""ProbeGain""",64.00
928256000,"""ProbeDrain""",21.00
928396000,"""ProbeUpdate""",21.00
948835000,"""ProbeGain""",64.00
949361000,"""ProbeDrain""",21.00
949462000,"""ProbeUpdate""",21.00
969917000,"""ProbeGain""",65.00
970442000,"""ProbeDrain""",21.00
970541000,"""ProbeUpdate""",21.00
990941000,"""ProbeGain""",65.00
991465000,"""ProbeDrain""",21.00
991562000,"""ProbeUpdate""",21.00
