time,event,cwnd
106000,"""SlowStart""",293.00
106100,"""SlowStart""",294.00
106200,"""SlowStart""",295.00
106300,"""SlowStart""",296.00
106800,"""SlowStart""",297.00
106900,"""SlowStart""",298.00
107000,"""SlowStart""",299.00
107100,"""SlowStart""",300.00
107600,"""SlowStartEnd""",150.00
627200,"""ProbeGain""",551.00
778100,"""ProbeDrain""",150.00
888500,"""ProbeUpdate""",116.00
4303800,"""ProbeGain""",380.00
4439500,"""ProbeDrain""",116.00
4496400,"""ProbeUpdate""",129.00
7759800,"""ProbeGain""",420.00
7844800,"""ProbeDrain""",129.00
7896700,"""ProbeUpdate""",157.00
11326700,"""ProbeGain""",567.00
11435200,"""ProbeDrain""",157.00
11504800,"""ProbeUpdate""",155.00
14997700,"""ProbeGain""",570.00
15109500,"""ProbeDrain""",155.00
15181000,"""ProbeUpdate""",152.00
18681700,"""ProbeGain""",559.00
18792700,"""ProbeDrain""",152.00
18863400,"""ProbeUpdate""",151.00
22367200,"""ProbeGain""",555.00
22477900,"""ProbeDrain""",151.00
22548300,"""ProbeUpdate""",151.00
26169500,"""ProbeGain""",555.00
26280200,"""ProbeDrain""",151.00
26350600,"""ProbeUpdate""",151.00
29955800,"""ProbeGain""",555.00
30066500,"""ProbeDrain""",151.00
30136900,"""ProbeUpdate""",151.00
33767200,"""ProbeGain""",555.00
33877900,"""ProbeDrain""",151.00
33948300,"""ProbeUpdate""",151.00
37578600,"""ProbeGain""",555.00
37689300,"""ProbeDrain""",151.00
37759700,"""ProbeUpdate""",151.00
41390000,"""ProbeGain""",555.00
41500700,"""ProbeDrain""",151.00
41571100,"""ProbeUpdate""",151.00
45201400,"""ProbeGain""",555.00
45312100,"""ProbeDrain""",151.00
45382500,"""ProbeUpdate""",151.00
49012800,"""ProbeGain""",555.00
49123500,"""ProbeDrain""",151.00
49193900,"""ProbeUpdate""",151.00
52824200,"""ProbeGain""",555.00
52934900,"""ProbeDrain""",151.00
53005300,"""ProbeUpdate""",151.00
56635600,"""ProbeGain""",555.00
56746300,"""ProbeDrain""",151.00
56816700,"""ProbeUpdate""",151.00
60447000,"""ProbeGain""",555.00
60557700,"""ProbeDrain""",151.00
60628100,"""ProbeUpdate""",151.00
64258400,"""ProbeGain""",555.00
64369100,"""ProbeDrain""",151.00
64439500,"""ProbeUpdate""",151.00
68069800,"""ProbeGain""",555.00
68180500,"""ProbeDrain""",151.00
68250900,"""ProbeUpdate""",151.00
71881200,"""ProbeGain""",555.00
71991900,"""ProbeDrain""",151.00
72062300,"""ProbeUpdate""",151.00
75692600,"""ProbeGain""",555.00
75803300,"""ProbeDrain""",151.00
75873700,"""ProbeUpdate""",151.00
79504000,"""ProbeGain""",555.00
79614700,"""ProbeDrain""",151.00
79685100,"""ProbeUpdate""",151.00
83315400,"""ProbeGain""",555.00
83426100,"""ProbeDrain""",151.00
83496500,"""ProbeUpdate""",151.00
87126800,"""ProbeGain""",555.00
87237500,"""ProbeDrain""",151.00
87307900,"""ProbeUpdate""",151.00
90938200,"""ProbeGain""",555.00
91048900,"""ProbeDrain""",151.00
91119300,"""ProbeUpdate""",151.00
94749600,"""ProbeGain""",555.00
94860300,"""ProbeDrain""",151.00
94930700,"""ProbeUpdate""",151.00
98561000,"""ProbeGain""",555.00
98671700,"""ProbeDrain""",151.00
98742100,"""ProbeUpdate""",151.00
102372400,"""ProbeGain""",555.00
102483100,"""ProbeDrain""",151.00
102553500,"""ProbeUpdate""",151.00
106183800,"""ProbeGain""",555.00
106294500,"""ProbeDrain""",151.00
106364900,"""ProbeUpdate""",151.00
109995200,"""ProbeGain""",555.00
110105900,"""ProbeDrain""",151.00
110176300,"""ProbeUpdate""",151.00
113806600,"""ProbeGain""",555.00
113917300,"""ProbeDrain""",151.00
113987700,"""ProbeUpdate""",151.00
117618000,"""ProbeGain""",555.00
117728700,"""ProbeDrain""",151.00
117799100,"""ProbeUpdate""",151.00
121429400,"""ProbeGain""",555.00
121540100,"""ProbeDrain""",151.00
121610500,"""ProbeUpdate""",151.00
125240800,"""ProbeGain""",555.00
125351500,"""ProbeDrain""",151.00
125421900,"""ProbeUpdate""",151.00
129052200,"""ProbeGain""",555.00
129162900,"""ProbeDrain""",151.00
129233300,"""ProbeUpdate""",151.00
132863600,"""ProbeGain""",555.00
132974300,"""ProbeDrain""",151.00
133044700,"""ProbeUpdate""",151.00
136675000,"""ProbeGain""",555.00
136785700,"""ProbeDrain""",151.00
136856100,"""ProbeUpdate""",151.00
140486400,"""ProbeGain""",555.00
140597100,"""ProbeDrain""",151.00
140667500,"""ProbeUpdate""",151.00
144297800,"""ProbeGain""",555.00
144408500,"""ProbeDrain""",151.00
144478900,"""ProbeUpdate""",151.00
148109200,"""ProbeGain""",555.00
148219900,"""ProbeDrain""",151.00
148290300,"""ProbeUpdate""",151.00
151920600,"""ProbeGain""",555.00
152031300,"""ProbeDrain""",151.00
152101700,"""ProbeUpdate""",151.00
155732000,"""ProbeGain""",555.00
155842700,"""ProbeDrain""",151.00
155913100,"""ProbeUpdate""",151.00
159543400,"""ProbeGain""",555.00
159654100,"""ProbeDrain""",151.00
159724500,"""ProbeUpdate""",151.00
163354800,"""ProbeGain""",555.00
163465500,"""ProbeDrain""",151.00
163535900,"""ProbeUpdate""",151.00
167166200,"""ProbeGain""",555.00
167276900,"""ProbeDrain""",151.00
167347300,"""ProbeUpdate""",151.00
170977600,"""ProbeGain""",555.00
171088300,"""ProbeDrain""",151.00
171158700,"""ProbeUpdate""",151.00
174789000,"""ProbeGain""",555.00
174899700,"""ProbeDrain""",151.00
174970100,"""ProbeUpdate""",151.00
178600400,"""ProbeGain""",555.00
178711100,"""ProbeDrain""",151.00
178781500,"""ProbeUpdate""",151.00
182411800,"""ProbeGain""",555.00
182522500,"""ProbeDrain""",151.00
182592900,"""ProbeUpdate""",151.00
186223200,"""ProbeGain""",555.00
186333900,"""ProbeDrain""",151.00
186404300,"""ProbeUpdate""",151.00
190034600,"""ProbeGain""",555.00
190145300,"""ProbeDrain""",151.00
190215700,"""ProbeUpdate""",151.00
193846000,"""ProbeGain""",555.00
193956700,"""ProbeDrain""",151.00
194027100,"""ProbeUpdate""",151.00
197657400,"""ProbeGain""",555.00
197768100,"""ProbeDrain""",151.00
197838500,"""ProbeUpdate""",151.00
201468800,"""ProbeGain""",555.00
201579500,"""ProbeDrain""",151.00
201649900,"""ProbeUpdate""",151.00
205280200,"""ProbeGain""",555.00
205390900,"""ProbeDrain""",151.00
205461300,"""ProbeUpdate""",151.00
209091600,"""ProbeGain""",555.00
209202300,"""ProbeDrain""",151.00
209272700,"""ProbeUpdate""",151.00
212903000,"""ProbeGain""",555.00
213013700,"""ProbeDrain""",151.00
213084100,"""ProbeUpdate""",151.00
216714400,"""ProbeGain""",555.00
216825100,"""ProbeDrain""",151.00
216895500,"""ProbeUpdate""",151.00
220525800,"""ProbeGain""",555.00
220636500,"""ProbeDrain""",151.00
220706900,"""ProbeUpdate""",151.00
224337200,"""ProbeGain""",555.00
224447900,"""ProbeDrain""",151.00
224518300,"""ProbeUpdate""",151.00
228148600,"""ProbeGain""",555.00
228259300,"""ProbeDrain""",151.00
228329700,"""ProbeUpdate""",151.00
231960000,"""ProbeGain""",555.00
232070700,"""ProbeDrain""",151.00
232141100,"""ProbeUpdate""",151.00
235771400,"""ProbeGain""",555.00
235882100,"""ProbeDrain""",151.00
235952500,"""ProbeUpdate""",151.00
239582800,"""ProbeGain""",555.00
239693500,"""ProbeDrain""",151.00
239763900,"""ProbeUpdate""",151.00
243394200,"""ProbeGain""",555.00
243504900,"""ProbeDrain""",151.00
243575300,"""ProbeUpdate""",151.00
247205600,"""ProbeGain""",555.00
247316300,"""ProbeDrain""",151.00
247386700,"""ProbeUpdate""",151.00
251017000,"""ProbeGain""",555.00
251127700,"""ProbeDrain""",151.00
251198100,"""ProbeUpdate""",151.00
254828400,"""ProbeGain""",555.00
254939100,"""ProbeDrain""",151.00
255009500,"""ProbeUpdate""",151.00
258639800,"""ProbeGain""",555.00
258750500,"""ProbeDrain""",151.00
258820900,"""ProbeUpdate""",151.00
262451200,"""ProbeGain""",555.00
262561900,"""ProbeDrain""",151.00
262632300,"""ProbeUpdate""",151.00
266262600,"""ProbeGain""",555.00
266373300,"""ProbeDrain""",151.00
266443700,"""ProbeUpdate""",151.00
270074000,"""ProbeGain""",555.00
270184700,"""ProbeDrain""",151.00
270255100,"""ProbeUpdate""",151.00
273885400,"""ProbeGain""",555.00
273996100,"""ProbeDrain""",151.00
274066500,"""ProbeUpdate""",151.00
277696800,"""ProbeGain""",555.00
