time,event,cwnd
1227086000,"""ProbeUpdate""",28.00
1249151000,"""ProbeGain""",69.00
1250040000,"""ProbeDrain""",28.00
1250321000,"""ProbeUpdate""",26.00
1271272000,"""ProbeGain""",43.00
1272029000,"""ProbeDrain""",26.00
1272310000,"""ProbeUpdate""",28.00
1294242000,"""ProbeGain""",53.00
1295030000,"""ProbeDrain""",28.00
1295315000,"""ProbeUpdate""",28.00
1317393000,"""ProbeGain""",54.00
1318181000,"""ProbeDrain""",28.00
1318482000,"""ProbeUpdate""",28.00
1340985000,"""ProbeGain""",55.00
1341780000,"""ProbeDrain""",28.00
1342090000,"""ProbeUpdate""",27.00
1364465000,"""ProbeGain""",52.00
1365249000,"""ProbeDrain""",27.00
1365546000,"""ProbeUpdate""",27.00
1388000000,"""ProbeGain""",52.00
1388787000,"""ProbeDrain""",27.00
1389080000,"""ProbeUpdate""",27.00
1411551000,"""ProbeGain""",51.00
1412337000,"""ProbeDrain""",27.00
1412623000,"""ProbeUpdate""",27.00
1435077000,"""ProbeGain""",52.00
1435862000,"""ProbeDrain""",27.00
1436154000,"""ProbeUpdate""",27.00
1458613000,"""ProbeGain""",51.00
1459394000,"""ProbeDrain""",27.00
1459681000,"""ProbeUpdate""",27.00
1482086000,"""ProbeGain""",40.00
1482860000,"""ProbeDrain""",27.00
1483069000,"""ProbeUpdate""",27.00
1505047000,"""ProbeGain""",67.00
1505936000,"""ProbeDrain""",27.00
1506267000,"""ProbeUpdate""",26.00
1527230000,"""ProbeGain""",44.00
1527991000,"""ProbeDrain""",26.00
1528276000,"""ProbeUpdate""",28.00
1550363000,"""ProbeGain""",54.00
1551152000,"""ProbeDrain""",28.00
1551450000,"""ProbeUpdate""",28.00
1573574000,"""ProbeGain""",54.00
1574364000,"""ProbeDrain""",28.00
1574666000,"""ProbeUpdate""",28.00
1597133000,"""ProbeGain""",55.00
1597927000,"""ProbeDrain""",28.00
1598240000,"""ProbeUpdate""",27.00
1620681000,"""ProbeGain""",52.00
1621468000,"""ProbeDrain""",27.00
1621762000,"""ProbeUpdate""",27.00
1644215000,"""ProbeGain""",52.00
1645000000,"""ProbeDrain""",27.00
1645297000,"""ProbeUpdate""",27.00
1667779000,"""ProbeGain""",52.00
1668565000,"""ProbeDrain""",27.00
1668859000,"""ProbeUpdate""",27.00
1691326000,"""ProbeGain""",52.00
1692111000,"""ProbeDrain""",27.00
1692404000,"""ProbeUpdate""",27.00
1714858000,"""ProbeGain""",51.00
1715642000,"""ProbeDrain""",27.00
1715929000,"""ProbeUpdate""",27.00
1738330000,"""ProbeGain""",40.00
1739104000,"""ProbeDrain""",27.00
1739313000,"""ProbeUpdate""",27.00
1761289000,"""ProbeGain""",67.00
1762178000,"""ProbeDrain""",27.00
1762510000,"""ProbeUpdate""",26.00
1783479000,"""ProbeGain""",44.00
1784240000,"""ProbeDrain""",26.00
1784527000,"""ProbeUpdate""",28.00
1806612000,"""ProbeGain""",54.00
1807400000,"""ProbeDrain""",28.00
1807699000,"""ProbeUpdate""",28.00
1829816000,"""ProbeGain""",54.00
1830607000,"""ProbeDrain""",28.00
1830910000,"""ProbeUpdate""",28.00
1853459000,"""ProbeGain""",55.00
1854254000,"""ProbeDrain""",28.00
1854567000,"""ProbeUpdate""",27.00
1877053000,"""ProbeGain""",52.00
1877842000,"""ProbeDrain""",27.00
1878139000,"""ProbeUpdate""",27.00
1900655000,"""ProbeGain""",52.00
1901443000,"""ProbeDrain""",27.00
1901736000,"""ProbeUpdate""",27.00
1924188000,"""ProbeGain""",52.00
1924974000,"""ProbeDrain""",27.00
1925270000,"""ProbeUpdate""",27.00
1947740000,"""ProbeGain""",52.00
1948526000,"""ProbeDrain""",27.00
1948818000,"""ProbeUpdate""",27.00
1971279000,"""ProbeGain""",51.00
1972063000,"""ProbeDrain""",27.00
1972348000,"""ProbeUpdate""",27.00
1994752000,"""ProbeGain""",40.00
1995528000,"""ProbeDrain""",27.00
1995739000,"""ProbeUpdate""",27.00
2017707000,"""ProbeGain""",66.00
2018597000,"""ProbeDrain""",27.00
2018920000,"""ProbeUpdate""",26.00
2039894000,"""ProbeGain""",44.00
2040654000,"""ProbeDrain""",26.00
2040947000,"""ProbeUpdate""",28.00
2063039000,"""ProbeGain""",54.00
2063828000,"""ProbeDrain""",28.00
2064130000,"""ProbeUpdate""",28.00
2086232000,"""ProbeGain""",54.00
2087020000,"""ProbeDrain""",28.00
2087323000,"""ProbeUpdate""",28.00
2109765000,"""ProbeGain""",55.00
2110561000,"""ProbeDrain""",28.00
2110873000,"""ProbeUpdate""",27.00
2133333000,"""ProbeGain""",52.00
2134118000,"""ProbeDrain""",27.00
2134415000,"""ProbeUpdate""",27.00
2156874000,"""ProbeGain""",52.00
2157659000,"""ProbeDrain""",27.00
2157954000,"""ProbeUpdate""",27.00
2180431000,"""ProbeGain""",52.00
2181219000,"""ProbeDrain""",27.00
2181511000,"""ProbeUpdate""",27.00
2203979000,"""ProbeGain""",52.00
2204764000,"""ProbeDrain""",27.00
2205057000,"""ProbeUpdate""",27.00
2227515000,"""ProbeGain""",51.00
2228297000,"""ProbeDrain""",27.00
2228583000,"""ProbeUpdate""",27.00
2251004000,"""ProbeGain""",40.00
2251778000,"""ProbeDrain""",27.00
2251986000,"""ProbeUpdate""",27.00
2273980000,"""ProbeGain""",66.00
2274868000,"""ProbeDrain""",27.00
2275179000,"""ProbeUpdate""",26.00
2296232000,"""ProbeGain""",44.00
2296991000,"""ProbeDrain""",26.00
2297286000,"""ProbeUpdate""",28.00
2319316000,"""ProbeGain""",54.00
2320103000,"""ProbeDrain""",28.00
2320403000,"""ProbeUpdate""",28.00
2342575000,"""ProbeGain""",55.00
2343367000,"""ProbeDrain""",28.00
2343678000,"""ProbeUpdate""",27.00
2365981000,"""ProbeGain""",52.00
2366769000,"""ProbeDrain""",27.00
2367066000,"""ProbeUpdate""",27.00
2389631000,"""ProbeGain""",52.00
2390418000,"""ProbeDrain""",27.00
2390716000,"""ProbeUpdate""",27.00
2413228000,"""ProbeGain""",52.00
2414015000,"""ProbeDrain""",27.00
2414310000,"""ProbeUpdate""",27.00
2436865000,"""ProbeGain""",52.00
2437652000,"""ProbeDrain""",27.00
2437947000,"""ProbeUpdate""",27.00
2460390000,"""ProbeGain""",51.00
2461173000,"""ProbeDrain""",27.00
2461459000,"""ProbeUpdate""",27.00
2483914000,"""ProbeGain""",51.00
2484695000,"""ProbeDrain""",27.00
2484982000,"""ProbeUpdate""",27.00
2507388000,"""ProbeGain""",40.00
2508161000,"""ProbeDrain""",27.00
2508371000,"""ProbeUpdate""",27.00
2530345000,"""ProbeGain""",67.00
2531233000,"""ProbeDrain""",27.00
2531564000,"""ProbeUpdate""",26.00
2552550000,"""ProbeGain""",44.00
2553310000,"""ProbeDrain""",26.00
2553603000,"""ProbeUpdate""",28.00
2575684000,"""ProbeGain""",54.00
